total_cores,sizes,time
1,100,411.43
1,200,3127.8
1,400,33280.67
1,600,115076.3
1,800,372400.33
1,1000,573742.8
1,1500,2591813.37
1,2000,26665157.27
2,100,158.08
2,200,1555.64
2,400,17224.83
2,600,58354.92
2,800,185186.24
2,1000,287822.67
2,1500,1387011.28
2,2000,14551987.78
4,100,88.47
4,200,826.05
4,400,9165.08
4,600,31734.65
4,800,99538.96
4,1000,154784.86
4,1500,782440.7
4,2000,6862504.22
8,100,709.03
8,200,1298.91
8,400,12751.96
8,600,35075.67
8,800,86099.25
8,1000,131619.38
8,1500,543869.1
8,2000,3292443.85
10,100,1664.86
10,200,1336.69
10,400,13676.86
10,600,38401.14
10,800,86586.11
10,1000,132077.46
10,1500,615492.09
10,2000,3366774.81
14,100,496.82
14,200,1217.33
14,400,9180.06
14,600,23833.81
14,800,70318.87
14,1000,114927.99
14,1500,568939.6
14,2000,3562335.34
16,100,514.42
16,200,1165.18
16,400,9803.77
16,600,23793.3
16,800,69022.77
16,1000,106743.37
16,1500,532486.05
16,2000,3517405.43
20,100,713.27
20,200,1236.96
20,400,8526.41
20,600,21473.65
20,800,64512.13
20,1000,104233.58
20,1500,535002.86
20,2000,3372489.72
