total_cores,sizes,time
1,100,279.13
1,200,2162.33
1,400,18373.37
1,600,56223.63
1,800,131868.43
1,1000,265392.73
1,1500,1221351.2
1,2000,4416733.97
2,100,149.12
2,200,1109.64
2,400,9600.9
2,600,28515.5
2,800,67130.9
2,1000,135926.98
2,1500,626320.35
2,2000,2273989.53
4,100,99.87
4,200,725.6
4,400,5471.36
4,600,18164.19
4,800,37918.27
4,1000,74187.5
4,1500,344645.96
4,2000,1250056.46
8,100,143.77
8,200,2672.7
8,400,4108.05
8,600,14352.31
8,800,30098.47
8,1000,58541.4
8,1500,228751.77
8,2000,711129.13
10,100,4066.43
10,200,6531.68
10,400,8382.34
10,600,15628.49
10,800,29234.41
10,1000,53448.06
10,1500,213915.38
10,2000,675006.67
14,100,560.51
14,200,1488.05
14,400,5695.47
14,600,12943.23
14,800,28363.9
14,1000,47783.99
14,1500,214844.59
14,2000,771371.88
16,100,1662.14
16,200,1286.72
16,400,4862.11
16,600,14441.65
16,800,25452.17
16,1000,46204.97
16,1500,213745.07
16,2000,727686.74
20,100,1830.02
20,200,1326.47
20,400,5127.82
20,600,12705.81
20,800,26483.66
20,1000,47851.44
20,1500,202705.36
20,2000,724087.82
