total_cores,sizes,time
1,100,533.57
1,200,4006.47
1,400,32833.67
1,600,112366.43
1,800,368772.9
1,1000,556301.0
1,1500,2397379.97
1,2000,18699529.47
2,100,349.54
2,200,2254.6
2,400,15863.36
2,600,57048.02
2,800,183432.56
2,1000,276367.58
2,1500,1264732.25
2,2000,10327208.13
4,100,310.85
4,200,1460.94
4,400,11545.53
4,600,32294.93
4,800,99299.36
4,1000,146913.88
4,1500,665187.45
4,2000,4700496.4
8,100,235.26
8,200,1123.14
8,400,13097.69
8,600,33712.24
8,800,78005.68
8,1000,125329.92
8,1500,431618.96
8,2000,2342002.41
10,100,201.8
10,200,1045.44
10,400,10761.9
10,600,28675.62
10,800,68247.21
10,1000,129299.16
10,1500,506164.52
10,2000,2780569.83
14,100,206.69
14,200,684.17
14,400,9968.61
14,600,23251.51
14,800,59466.7
14,1000,157144.11
14,1500,720166.42
14,2000,3366797.46
16,100,227.94
16,200,828.12
16,400,8529.22
16,600,22474.21
16,800,55763.62
16,1000,171455.95
16,1500,782698.48
16,2000,3261338.19
20,100,245.11
20,200,568.38
20,400,8782.98
20,600,20035.51
20,800,51541.82
20,1000,154940.89
20,1500,817962.83
20,2000,3306167.98
