total_cores,sizes,time
1,100,640.27
1,200,6302.53
1,400,44450.67
1,600,142985.8
1,800,342875.9
1,1000,674530.4
1,1500,2459711.8
1,2000,6745670.1
2,100,185.4
2,200,2499.87
2,400,21755.47
2,600,73178.0
2,800,172233.7
2,1000,337340.93
2,1500,1205547.3
2,2000,3183292.0
4,100,244.88
4,200,1427.28
4,400,13971.0
4,600,44528.79
4,800,92478.8
4,1000,177445.56
4,1500,627534.83
4,2000,1609046.59
8,100,29.74
8,200,1557.99
8,400,11044.53
8,600,33111.77
8,800,62608.73
8,1000,111310.51
8,1500,350544.51
8,2000,907918.94
10,100,0.0
10,200,624.09
10,400,12855.18
10,600,29402.3
10,800,53750.19
10,1000,92298.99
10,1500,301939.14
10,2000,766938.8
14,100,595.16
14,200,1410.27
14,400,9207.85
14,600,22977.62
14,800,39675.48
14,1000,71660.84
14,1500,241074.56
14,2000,597316.98
16,100,683.42
16,200,748.56
16,400,9501.15
16,600,23529.13
16,800,42422.41
16,1000,69641.05
16,1500,223186.45
16,2000,578236.41
20,100,859.9
20,200,1235.82
20,400,6782.17
20,600,20841.9
20,800,36991.58
20,1000,68409.37
20,1500,219818.53
20,2000,583379.96
